postal_code,country,time_init_utc,time_valid_utc,doy_utc,hour_utc,time_valid_lcl,dst_offset_minutes,temperature_air_2m_f,temperature_wetbulb_2m_f,temperature_dewpoint_2m_f,temperature_feelslike_2m_f,temperature_windchill_2m_f,temperature_heatindex_2m_f,humidity_relative_2m_pct,humidity_specific_2m_gpkg,pressure_2m_mb,pressure_mean_sea_level_mb,wind_speed_10m_mph,wind_direction_10m_deg,wind_speed_80m_mph,wind_direction_80m_deg,wind_speed_100m_mph,wind_direction_100m_deg,precipitation_in,snowfall_in,cloud_cover_pct,radiation_solar_total_wpm2
82061,US,2020-04-08 12:00:00 UTC,2020-04-09 21:00:00 UTC,100,21,2020-04-09 15:00:00 UTC,-60,42.18,35.28,25.27,35.54,35.54,42.18,50.82,3.8,765.66,1013.79,12.06,90.49,13.14,94.27,13.23,94.34,0.0,0.0,2,910.0
13760,US,2020-04-08 12:00:00 UTC,2020-04-09 21:00:00 UTC,100,21,2020-04-09 17:00:00 UTC,-60,43.8,37.57,27.16,35.52,35.52,43.8,51.65,3.32,946.67,991.97,19.64,295.65,31.19,297.16,32.16,297.21,0.0,0.0,100,490.0
51439,US,2020-04-08 12:00:00 UTC,2020-04-09 21:00:00 UTC,100,21,2020-04-09 16:00:00 UTC,-60,42.36,35.29,18.67,32.94,32.94,42.36,38.2,2.27,969.23,1017.79,22.81,320.63,29.21,320.42,29.76,320.41,0.0,0.0,32,820.0
57633,US,2020-04-08 12:00:00 UTC,2020-04-09 21:00:00 UTC,100,21,2020-04-09 15:00:00 UTC,-60,38.58,31.76,9.84,30.21,30.21,38.58,30.05,1.59,939.66,1024.36,14.32,353.03,16.79,352.64,17.01,352.53,0.0,0.0,0,860.0
36790,US,2020-04-08 12:00:00 UTC,2020-04-09 21:00:00 UTC,100,21,2020-04-09 16:00:00 UTC,-60,77.1,61.2,47.37,77.1,77.1,77.1,35.0,7.14,993.85,1009.05,8.57,349.64,11.85,348.92,12.14,348.85,0.0,0.0,29,850.0
52036,US,2020-04-08 12:00:00 UTC,2020-04-09 21:00:00 UTC,100,21,2020-04-09 16:00:00 UTC,-60,39.66,33.62,20.11,28.85,28.85,39.66,45.1,2.4,973.66,1010.88,25.27,316.85,33.21,317.23,33.96,317.33,0.0,0.0,100,680.0
52041,US,2020-04-08 12:00:00 UTC,2020-04-09 21:00:00 UTC,100,21,2020-04-09 16:00:00 UTC,-60,39.66,33.62,20.11,28.85,28.85,39.66,45.1,2.4,973.66,1010.88,25.27,316.85,33.21,317.23,33.96,317.33,0.0,0.0,100,680.0
34610,US,2020-04-08 12:00:00 UTC,2020-04-09 21:00:00 UTC,100,21,2020-04-09 17:00:00 UTC,-60,79.98,73.0,69.98,83.79,79.98,83.79,71.57,15.76,1006.46,1007.99,15.81,267.04,19.87,266.68,20.21,266.74,0.0,0.0,21,800.0
16326,US,2020-04-08 12:00:00 UTC,2020-04-13 14:00:00 UTC,104,14,2020-04-13 10:00:00 UTC,-60,52.58,50.86,49.54,48.3,48.3,52.58,89.4,7.99,945.83,999.26,13.34,233.27,25.54,237.37,27.03,237.68,0.0,0.0,100,34.0
83803,US,2020-04-08 12:00:00 UTC,2020-04-13 14:00:00 UTC,104,14,2020-04-13 07:00:00 UTC,-60,30.26,26.13,16.15,29.89,29.89,30.26,55.89,2.16,911.91,1025.4,0.63,169.79,1.37,146.0,1.44,150.22,0.0,0.0,65,33.3
36045,US,2020-04-08 12:00:00 UTC,2020-04-13 18:00:00 UTC,104,18,2020-04-13 13:00:00 UTC,-60,76.59,65.68,59.19,78.49,76.59,78.49,54.91,10.94,996.01,1013.71,7.8,329.73,8.93,327.48,9.06,327.5,0.0,0.0,0,661.0
70381,US,2020-04-08 12:00:00 UTC,2020-04-13 18:00:00 UTC,104,18,2020-04-13 13:00:00 UTC,-60,75.69,65.96,60.26,78.07,75.69,78.07,58.79,11.15,1013.58,1014.59,10.36,16.72,13.49,15.34,13.76,15.66,0.0,0.0,0,619.0
46123,US,2020-04-08 12:00:00 UTC,2020-04-13 18:00:00 UTC,104,18,2020-04-13 14:00:00 UTC,-60,43.11,37.08,26.28,34.17,34.17,43.11,51.15,3.08,983.45,1015.77,21.65,283.25,27.77,283.86,28.36,283.9,0.0,0.0,94,480.0
82222,US,2020-04-08 12:00:00 UTC,2020-04-13 18:00:00 UTC,104,18,2020-04-13 12:00:00 UTC,-60,22.59,19.67,11.53,14.12,14.12,22.59,62.01,1.84,871.84,1026.01,6.99,313.4,8.17,310.83,8.29,310.66,0.0,0.0,99,447.0
56098,US,2020-04-08 12:00:00 UTC,2020-04-17 06:00:00 UTC,108,6,2020-04-17 01:00:00 UTC,-60,33.16,29.63,22.33,30.39,30.39,33.16,64.06,2.61,980.97,1021.97,3.15,159.25,4.71,161.03,4.83,160.96,0.0,0.0,100,6.0
84637,US,2020-04-08 12:00:00 UTC,2020-04-17 06:00:00 UTC,108,6,2020-04-17 00:00:00 UTC,-60,33.88,29.5,21.81,33.88,33.88,33.88,60.88,3.07,816.75,1011.83,0.86,31.36,5.16,356.16,6.02,357.26,0.0,0.0,31,59.0
84624,US,2020-04-08 12:00:00 UTC,2020-04-17 06:00:00 UTC,108,6,2020-04-17 00:00:00 UTC,-60,40.36,33.52,20.12,35.7,35.7,40.36,43.9,2.74,853.68,1012.4,6.74,23.63,10.63,14.55,11.48,14.57,0.0,0.0,5,61.0
78624,US,2020-04-08 12:00:00 UTC,2020-04-17 06:00:00 UTC,108,6,2020-04-17 01:00:00 UTC,-60,62.86,62.27,61.97,62.86,62.86,62.86,96.91,12.64,939.58,1009.16,18.02,163.57,24.76,163.97,25.5,164.1,0.0,0.0,94,3.0
36269,US,2020-04-08 12:00:00 UTC,2020-04-09 14:00:00 UTC,100,14,2020-04-09 09:00:00 UTC,-60,66.29,63.72,62.37,66.29,66.29,66.29,87.18,12.45,969.32,1008.37,12.13,327.4,20.3,329.51,21.19,329.73,0.0,0.0,71,170.0
45145,US,2020-04-08 12:00:00 UTC,2020-04-18 12:00:00 UTC,109,12,2020-04-18 08:00:00 UTC,-60,41.87,41.28,40.65,33.63,33.63,41.87,95.38,5.53,971.66,1005.17,17.04,33.94,23.45,37.62,24.42,37.96,0.16,0.0,100,0.0
80631,US,2020-04-08 12:00:00 UTC,2020-04-11 08:00:00 UTC,102,8,2020-04-11 02:00:00 UTC,-60,45.33,41.61,37.81,40.91,40.91,45.33,74.81,5.7,845.48,1005.8,8.32,21.49,15.57,25.2,16.56,25.66,0.0,0.0,0,0.0
80633,US,2020-04-08 12:00:00 UTC,2020-04-11 08:00:00 UTC,102,8,2020-04-11 02:00:00 UTC,-60,45.33,41.61,37.81,40.91,40.91,45.33,74.81,5.7,845.48,1005.8,8.32,21.49,15.57,25.2,16.56,25.66,0.0,0.0,0,0.0
80632,US,2020-04-08 12:00:00 UTC,2020-04-11 08:00:00 UTC,102,8,2020-04-11 02:00:00 UTC,-60,45.33,41.61,37.81,40.91,40.91,45.33,74.81,5.7,845.48,1005.8,8.32,21.49,15.57,25.2,16.56,25.66,0.0,0.0,0,0.0
